height,reach,weight,primary_division,basic_info_hometown,basic_info_name,basic_info_nationality,basic_info_nickname,fight_history_professional_count,fight_history_professional_draw_count,fight_history_professional_loss_count,fight_history_professional_nc_count,fight_history_professional_win_count,record_summary_draws,record_summary_losses_decision_percentage,record_summary_losses_decisions,record_summary_losses_knockouts,record_summary_losses_ko_percentage,record_summary_losses_others,record_summary_losses_submission_percentage,record_summary_losses_submissions,record_summary_losses_total,record_summary_no_contests,record_summary_wins_decision_percentage,record_summary_wins_decisions,record_summary_wins_knockouts,record_summary_wins_ko_percentage,record_summary_wins_others,record_summary_wins_submission_percentage,record_summary_wins_submissions,record_summary_wins_total,record_summary_win_ratio
180.34,182.88,77.11064,Featherweight,Grozny,Adlan Amagov,Russia,Borz,17,1,2,0,14,1,0,0,1,50,0,50,1,2,0,35,5,8,57,0,7,1,14,0.875
190.5,193.04,83.91452,Middleweight,Rio de Janeiro,Mario Miranda,Brazil,Super Mario,21,0,7,0,14,0,71,5,2,28,0,0,0,7,0,21,3,6,42,0,35,5,14,0.6666666666666666
165.1,167.64,57.152592,Bantamweight,Kashkadarya,Ramazonbek Temirov,Uzbekistan,Temurlan,22,0,3,0,19,0,66,2,0,0,0,33,1,3,0,36,7,11,57,0,5,1,19,0.8636363636363636
193.04,195.58,92.98636,Light Heavyweight,Auckland,Carlos Ulberg,New Zealand,Black Jag,13,0,1,0,12,0,0,0,1,100,0,0,0,1,0,33,4,7,58,0,8,1,12,0.9230769230769231
175.26,177.8,65.77083999999999,Featherweight,"Huntington Beach, California",Eric Winston,United States,,7,0,2,0,5,0,50,1,1,50,0,0,0,2,0,20,1,0,0,0,80,4,5,0.7142857142857143
170.18,172.72,56.699,Flyweight,"Englewood, Colorado",Brandon Royval,United States,Raw Dawg,24,0,7,0,17,0,71,5,1,14,0,14,1,7,0,23,4,4,23,0,52,9,17,0.7083333333333334
195.58,198.12,83.91452,Middleweight,Tashkent,Nursulton Ruziboev,Uzbekistan,Black,48,2,9,2,35,2,77,7,2,22,0,0,0,9,2,5,2,14,40,0,54,19,35,0.7954545454545454
170.18,172.72,70.30676,Lightweight,Prague,Jaroslav Poborsky,Czech Republic,Cinan,77,1,49,0,27,1,14,7,18,36,3,42,21,49,0,18,5,7,25,4,40,11,27,0.35526315789473684
165.1,167.64,52.616672,Flyweight,"Belo Horizonte, Minas Gerais",Juliana Lima,Brazil,Ju Thai,17,0,7,0,10,0,85,6,0,0,0,14,1,7,0,80,8,2,20,0,0,0,10,0.5882352941176471
177.8,180.34,65.77083999999999,Featherweight,"Westwood, Massachusetts",Kenny Florian,United States,KenFlo,20,0,6,0,14,0,66,4,1,16,0,16,1,6,0,14,2,4,28,0,57,8,14,0.7
177.8,180.34,70.760352,Welterweight,Seoul,Jae Hyun Park,South Korea,,10,0,3,0,7,0,33,1,2,66,0,0,0,3,0,28,2,2,28,0,42,3,7,0.7
185.42,187.96,77.11064,Welterweight,Moscow,Sergey Khandozhko,Russia,Honda,34,1,6,0,27,1,50,3,1,16,0,33,2,6,0,25,7,13,48,0,25,7,27,0.8181818181818182
175.26,177.8,68.945984,Lightweight,Seoul,Yui Chul Nam,South Korea,The Korean Bulldozer,30,1,9,0,20,1,55,5,3,33,0,11,1,9,0,50,10,9,45,0,5,1,20,0.6896551724137931
170.18,172.72,61.23492,Bantamweight,"Woodbridge, Ontario",Michael Imperato,Canada,,19,0,7,0,12,0,57,4,2,28,0,14,1,7,0,25,3,0,0,0,75,9,12,0.631578947368421
177.8,180.34,79.83219199999999,Middleweight,Milicz,Daniel Skibinski,Poland,Skiba,32,0,10,0,22,0,30,3,5,50,0,20,2,10,0,59,13,7,31,0,9,2,22,0.6875
170.18,172.72,61.23492,Bantamweight,"Anaheim, California",Mauricio Diaz,United States,The Shark,9,0,6,0,3,0,66,4,1,16,0,16,1,6,0,66,2,1,33,0,0,0,3,0.3333333333333333
165.1,167.64,75.296272,Welterweight,"Toms River, New Jersey",Mike Medrano,United States,,25,0,13,0,12,0,46,6,6,46,0,7,1,13,0,41,5,2,16,0,41,5,12,0.48
175.26,177.8,83.91452,Middleweight,"Anapa, Krasnodar Krai",Murad Abdulaev,Russia,Hunter,30,0,8,0,22,0,75,6,2,25,0,0,0,8,0,50,11,10,45,0,4,1,22,0.7333333333333333
167.64,170.18,61.23492,Bantamweight,"Longview, Washington",Donnie Johnson,United States,,5,0,2,1,2,0,50,1,0,0,0,50,1,2,1,0,0,0,0,0,100,2,2,0.5
177.8,180.34,72.121128,Welterweight,"London, Ontario",Chad Laprise,Canada,The Disciple,17,0,4,0,13,0,25,1,3,75,0,0,0,4,0,38,5,7,53,0,7,1,13,0.7647058823529411
177.8,180.34,63.049288,Featherweight,"Newquay, Cornwall",Jamie Pritchard,England,,9,0,4,0,5,0,25,1,3,75,0,0,0,4,0,0,0,1,20,0,80,4,5,0.5555555555555556
172.72,175.26,69.853168,Lightweight,"Philadelphia, Pennsylvania",Steve McCabe,United States,,28,0,21,0,7,0,0,0,4,19,0,80,17,21,0,0,0,5,71,0,28,2,7,0.25
