_meta_filepath,_meta_has_ufc_fights,_meta_is_active_ufc,_meta_scraped_at,_meta_total_fights,_meta_weight_class,basic_info_date_of_birth,basic_info_hometown,basic_info_name,basic_info_nationality,basic_info_nickname,fight_history_exhibition,fight_history_professional_count,fight_history_professional_draw_count,fight_history_professional_loss_count,fight_history_professional_nc_count,fight_history_professional_win_count,filename,gender,height,primary_division,profile_url,reach,record_summary_draws,record_summary_losses_decision_percentage,record_summary_losses_decisions,record_summary_losses_knockouts,record_summary_losses_ko_percentage,record_summary_losses_others,record_summary_losses_submission_percentage,record_summary_losses_submissions,record_summary_losses_total,record_summary_no_contests,record_summary_wins_decision_percentage,record_summary_wins_decisions,record_summary_wins_knockouts,record_summary_wins_ko_percentage,record_summary_wins_others,record_summary_wins_submission_percentage,record_summary_wins_submissions,record_summary_wins_total,scraped_at,weight
./data/adlan_amagov_41523.json,,,2025-04-13T15:25:02.461335,,Unknown,"Oct 30, 1986",Grozny,Adlan Amagov,Russia,Borz,[],17,1,2,0,14,adlan_amagov_41523.json,Female,"5'11""",Featherweight,https://www.sherdog.com/fighter/Adlan-Amagov-41523,"72""",1,0,0,1,50,0,50,1,2,0,35,5,8,57,0,7,1,14,2025-04-13T15:25:02.461335,170.0
./data/mario_miranda_23852.json,,,2025-04-13T18:23:14.743272,,Unknown,"Sep 21, 1978",Rio de Janeiro,Mario Miranda,Brazil,Super Mario,[],21,0,7,0,14,mario_miranda_23852.json,Male,"6'3""",Middleweight,https://www.sherdog.com/fighter/Mario-Miranda-23852,"76""",0,71,5,2,28,0,0,0,7,0,21,3,6,42,0,35,5,14,2025-04-13T18:23:14.743272,185.0
./data/danny_levins_119387.json,,,2025-04-13T19:13:04.222078,,Unknown,,,Danny Levins,England,,[],1,0,1,0,0,danny_levins_119387.json,Female,"0'0""",Atomweight,https://www.sherdog.com/fighter/Danny-Levins-119387,"1""",0,0,0,0,0,0,100,1,1,0,0,0,0,0,0,0,0,0,2025-04-13T19:13:04.222078,0.0
./data/ramazonbek_temirov_215649.json,True,False,2025-04-13T21:05:56.821440,22,Unknown,"Jan 31, 1997",Kashkadarya,Ramazonbek Temirov,Uzbekistan,Temurlan,[],22,0,3,0,19,ramazonbek_temirov_215649.json,Male,"5'5""",Bantamweight,https://www.sherdog.com/fighter/Ramazonbek-Temirov-215649,"66""",0,66,2,0,0,0,33,1,3,0,36,7,11,57,0,5,1,19,2025-04-13T21:05:56.821440,126.0
./data/eneas_souza_89535.json,,,2025-04-13T15:23:18.946316,,Unknown,,,Eneas Souza,Brazil,,[],1,0,1,0,0,eneas_souza_89535.json,Female,"0'0""",Atomweight,https://www.sherdog.com/fighter/Eneas-Souza-89535,"1""",0,0,0,0,0,0,100,1,1,0,0,0,0,0,0,0,0,0,2025-04-13T15:23:18.946316,0.0
./data/joshua_sharpless_99339.json,,,2025-04-13T18:35:26.884851,,Unknown,"Feb 6, 1978",Texas,Joshua Sharpless,United States,,[],6,0,6,0,0,joshua_sharpless_99339.json,Male,"0'0""",Welterweight,https://www.sherdog.com/fighter/Joshua-Sharpless-99339,"1""",0,66,4,2,33,0,0,0,6,0,0,0,0,0,0,0,0,0,2025-04-13T18:35:26.884851,168.0
./data/carlos_ulberg_84291.json,True,False,2025-04-13T20:58:48.086269,13,Unknown,"Nov 17, 1990",Auckland,Carlos Ulberg,New Zealand,Black Jag,[],13,0,1,0,12,carlos_ulberg_84291.json,Male,"6'4""",Light Heavyweight,https://www.sherdog.com/fighter/Carlos-Ulberg-84291,"77""",0,0,0,1,100,0,0,0,1,0,33,4,7,58,0,8,1,12,2025-04-13T20:58:48.086269,205.0
./data/eric_winston_78527.json,,,2025-04-13T16:26:35.215490,,Unknown,"Apr 17, 1987","Huntington Beach, California",Eric Winston,United States,,[],7,0,2,0,5,eric_winston_78527.json,Male,"5'9""",Featherweight,https://www.sherdog.com/fighter/Eric-Winston-78527,"70""",0,50,1,1,50,0,0,0,2,0,20,1,0,0,0,80,4,5,2025-04-13T16:26:35.215490,145.0
./data/brandon_royval_83851.json,,,2025-04-13T14:12:42.919076,,Unknown,"Aug 16, 1992","Englewood, Colorado",Brandon Royval,United States,Raw Dawg,[],24,0,7,0,17,brandon_royval_83851.json,Male,"5'7""",Flyweight,https://www.sherdog.com/fighter/Brandon-Royval-83851,"68""",0,71,5,1,14,0,14,1,7,0,23,4,4,23,0,52,9,17,2025-04-13T14:12:42.919076,125.0
./data/nursulton_ruziboev_175547.json,,,2025-04-13T19:15:14.702849,,Unknown,"Nov 19, 1993",Tashkent,Nursulton Ruziboev,Uzbekistan,Black,[],48,2,9,2,35,nursulton_ruziboev_175547.json,Male,"6'5""",Middleweight,https://www.sherdog.com/fighter/Nursulton-Ruziboev-175547,"78""",2,77,7,2,22,0,0,0,9,2,5,2,14,40,0,54,19,35,2025-04-13T19:15:14.702849,185.0
./data/jaroslav_poborsky_11841.json,True,False,2025-04-13T20:41:15.598157,77,Unknown,"Jun 11, 1979",Prague,Jaroslav Poborsky,Czech Republic,Cinan,[],77,1,49,0,27,jaroslav_poborsky_11841.json,Male,"5'7""",Lightweight,https://www.sherdog.com/fighter/Jaroslav-Poborsky-11841,"68""",1,14,7,18,36,3,42,21,49,0,18,5,7,25,4,40,11,27,2025-04-13T20:41:15.598157,155.0
./data/juliana_lima_73710.json,True,False,2025-04-13T21:20:34.322394,17,Unknown,"Mar 15, 1982","Belo Horizonte, Minas Gerais",Juliana Lima,Brazil,Ju Thai,[],17,0,7,0,10,juliana_lima_73710.json,Female,"5'5""",Flyweight,https://www.sherdog.com/fighter/Juliana-Lima-73710,"66""",0,85,6,0,0,0,14,1,7,0,80,8,2,20,0,0,0,10,2025-04-13T21:20:34.322394,116.0
./data/kenny_florian_8021.json,,,2025-04-13T16:06:56.301133,,Unknown,"May 26, 1976","Westwood, Massachusetts",Kenny Florian,United States,KenFlo,[],20,0,6,0,14,kenny_florian_8021.json,Male,"5'10""",Featherweight,https://www.sherdog.com/fighter/Kenny-Florian-8021,"71""",0,66,4,1,16,0,16,1,6,0,14,2,4,28,0,57,8,14,2025-04-13T16:06:56.301133,145.0
./data/jae_hyun_park_325247.json,True,False,2025-04-13T20:55:16.772502,10,Unknown,"Dec 10, 2001",Seoul,Jae Hyun Park,South Korea,,[],10,0,3,0,7,jae_hyun_park_325247.json,Male,"5'10""",Welterweight,https://www.sherdog.com/fighter/Jae-Hyun-Park-325247,"71""",0,33,1,2,66,0,0,0,3,0,28,2,2,28,0,42,3,7,2025-04-13T20:55:16.772502,156.0
